thetadot,force,xdot,t,x,theta
0,0.97435535720924227,0,0.0,0,3.141592653589793
-1.9487107144184845,0.99969801759535493,0.97435535720924227,0.02,0.019487107144184845,3.1026184393014233
-3.8512960434506103,0.99975043232920213,1.934021595985195,0.04,0.058167539063888746,3.0255925184324113
-5.6279290138148346,0.99950719891675932,2.8512102436349185,0.06,0.11519174393658713,2.9130339381561146
-7.2327755031298091,0.99556684997354938,3.7206992612585497,0.08,0.18960572916175811,2.7683784280935182
-8.5986150248423634,0.78561681846291098,4.5309317873765282,0.1,0.2802243649092887,2.596406127596671
-9.3232485809107342,-0.1365053146225314,5.0736745996657717,0.12,0.38169785690260416,2.4099411559784563
-8.4808940357979132,-0.29969995353247875,4.6837981444715542,0.14,0.47537381979203525,2.2403232752624982
-7.526567639555668,-0.4687821980554927,4.1628315200563275,0.16,0.55863045019316182,2.089791922471385
-6.5466313704861099,-0.9534770533462491,3.5184789660497828,0.18,0.62900002951415745,1.9588592950616628
-5.3882232943545318,-0.99694235585635538,2.4677474546594662,0.2,0.67835497860734684,1.8510948291745721
-4.4394048159888655,-0.96963931922426305,1.4344053555901524,0.22,0.70704308571914987,1.7623067328547948
-3.689587593079132,-0.47404273308447359,0.47667842802742322,0.24,0.7165766542796983,1.6885149809932121
-3.1910927723699434,-0.26235858376886961,0.01344565712143464,0.26,0.71684556742212702,1.6246931255458132
-2.772406312102162,-0.23761832372592998,-0.23582020043038959,0.28,0.71212916341351917,1.56924499930377
-2.3806719970715591,-0.18245624041803077,-0.45022143481290561,0.3,0.70312473471726111,1.5216315593623388
-2.0038633403284911,-0.13345552485181097,-0.60402345426459503,0.32,0.69104426563196919,1.481554292555769
-1.6311142153488174,-0.10720481157555466,-0.70550803429306075,0.34,0.67693410494610795,1.4489320082487926
-1.2591657854004965,-0.11175285255783089,-0.77765761236440856,0.36,0.6613809526988198,1.4237486925407827
-0.89218618331750044,-0.19100191661274241,-0.84995440775705133,0.38,0.64438186454367874,1.4059049688744327
-0.55136524536740794,-0.67073811623854773,-0.99085598441310052,0.4,0.62456474485541669,1.3948776639670846
-0.36541930132860473,-0.99993834463427522,-1.5633796603328798,0.42,0.59329715164875907,1.3875692779405124
-0.28994561211791903,-0.99996503156891614,-2.4150586381413115,0.44,0.54499597888593287,1.3817703656981541
-0.21294150721971666,-0.99992023129635055,-3.2357148150942434,0.46,0.48028168258404802,1.3775115355537597
-0.1316042262164043,-0.99290145640001748,-4.0264011430267468,0.48,0.39975365972351307,1.3748794510294315
-0.040826059573487061,-0.78604412016973613,-4.7818364413053542,0.5,0.30411693089740599,1.3740629298379619
0.13323063600179075,-0.69461140022015289,-5.3209920612799806,0.52,0.19769708967180638,1.3767275425579977
0.35006219382673687,-0.68114466304090726,-5.7570814298176254,0.54,0.082555461075453876,1.3837287864345325
0.58385531067517771,-0.67899174589321476,-6.1650885098093395,0.56,-0.040746309120732918,1.3954058926480359
0.83364104573008513,-0.67857144750832687,-6.556492668667703,0.58,-0.17187616249408699,1.4120787135626376
1.1018864359717675,-0.67826606437396142,-6.933654601521047,0.6,-0.31054925452450793,1.4341164422820729
1.3914954263333543,-0.6775507184656242,-7.2974270388293423,0.62,-0.4564977953010948,1.46194635080874
1.7053559156012623,-0.67552820665766711,-7.6482212414655688,0.64,-0.60946222013040618,1.4960534691207652
2.0462590569863295,-0.66951214168209527,-7.9857000217119136,0.66,-0.76917622056464441,1.5369786502604919
2.4166945256298091,-0.65067045044646965,-8.3071933661736637,0.68,-0.93532008788811771,1.5853125407730881
2.8176178046794562,-0.58742412264627908,-8.6022056362455306,0.7000000000000001,-1.1073642006130284,1.6416648968666774
3.2415736711289616,-0.36026949195575514,-8.8319837631649083,0.72,-1.2840038758763266,1.7064963702892566
3.6353015916219018,0.22575490445938848,-8.8502243042306343,0.74,-1.4610083619609393,1.7792024021216946
3.8066440675203577,0.51353595788947326,-8.3365316944167596,0.76,-1.6277389958492745,1.8553352834721017
