thetadot,force,xdot,t,x,theta
0.0,0.99938430234845543,0.0,0.0,0.5,0.0
0.99938430234845543,0.9951327848974646,0.99938430234845543,0.02,0.5199876860469691,0.01998768604696911
1.9585861490958174,0.7979044570300734,1.954855678886388,0.04,0.55908479962469682,0.05915940902888546
2.6890894640844061,-0.06268044047900978,2.675018545456278,0.06,0.61258517053382233,0.11294119831057359
2.5433780465472293,-0.59742964750842054,2.5061190717420536,0.08,0.66270755196866338,0.16380875924151816
1.8898948010708254,-0.96394633258407647,1.8113392939348238,0.1,0.69893433784735981,0.20160665526293467
0.92018944183519391,-0.98443586704076813,0.78148762805325656,0.12,0.71456409040842495,0.22001044409963855
-0.019805861169254313,-0.83772859764713981,-0.22560205221198681,0.14,0.7100520493641852,0.21961432687625346
-0.77799090653193126,-0.39190634286064685,-1.0462403680732293,0.16,0.68912724200272057,0.20405450874561484
-1.076067162170522,0.078808747089649217,-1.3912324052150129,0.18,0.66130259389842028,0.18253316550220441
-0.90564189519491867,-0.15254149032310488,-1.2541441610376347,0.2,0.63621971067766758,0.16442032759830605
-0.97140009389705406,-0.053581598882279619,-1.3533544843430998,0.22,0.60915262099080558,0.14499232572036497
-0.94000594816012351,-0.10479741917010034,-1.350275960516566,0.24,0.58214710178047424,0.1261922067571625
-0.96340949396006637,-0.053079696603403351,-1.3987582731203279,0.26,0.55417193631806771,0.10692401687796117
-0.93774905882647941,-0.059977947587965971,-1.3940092580297392,0.28,0.52629175115747295,0.088169035701431586
-0.92311187043691045,-0.023615534095199935,-1.3966587218628195,0.3,0.49835857672021655,0.069706798292693384
-0.87604868304074213,-0.022975245333939819,-1.3631796300768773,0.32,0.47109498411867901,0.052185824631878541
-0.83337363104775442,0.010907543652944961,-1.3306945659302083,0.34,0.44448109280007486,0.035518352010923453
-0.76167313242375434,-0.0026775580702607204,-1.2659204491257536,0.36,0.41916268381755978,0.020284889362448363
-0.70937183637393397,0.070130573215324857,-1.2175888321083488,0.38,0.3948109071753928,0.0060974526349696842
-0.58923055795033585,0.056241635010848667,-1.0986416553213139,0.4,0.37283807406896652,-0.0056871585240370337
-0.4902686439586596,0.14876697185402371,-0.99856230837475446,0.42,0.35286682790147145,-0.015492531403210226
-0.30492229239383772,0.17956002264236512,-0.8101538334316537,0.44,0.33666375123283837,-0.021590977251086982
-0.097670569592345602,0.10229175616146996,-0.59861698583137035,0.46,0.32469141151621095,-0.023544388642933893
0.02344373472239443,-0.048170584786163172,-0.47284884180359255,0.48,0.31523443468013912,-0.023075513948486004
-0.010782975387527149,-0.061140218204401429,-0.50255644685075929,0.5,0.30518330574312391,-0.023291173456236547
-0.056833548589662448,-0.04350672768427729,-0.54404895886748317,0.52,0.29430232656577426,-0.024427844428029796
-0.083841554514039948,-0.025768403554636901,-0.56627132828661897,0.54,0.28297690000004189,-0.026104675518310597
-0.092590351091742948,-0.01235095775241528,-0.56990020559903187,0.56,0.27157889588806122,-0.027956482540145454
-0.088182029610424983,-0.0063300978889950996,-0.5600036695632713,0.58,0.26037882249679578,-0.029720123132353955
-0.078532720290928712,-0.0062762898173620288,-0.54451729152191519,0.6,0.24948847666635748,-0.031290777538172526
-0.069788451919352873,-0.0081540465643586829,-0.52962748557998462,0.62,0.23889592695475778,-0.032686546576559582
-0.063817833589892417,-0.0091961885287177841,-0.5172382909391473,0.64,0.22855116113597485,-0.033962903248357428
-0.059659786233426854,-0.0091537687837561516,-0.5064117594428722,0.66,0.2184229259471174,-0.035156098973025962
-0.056149955132356474,-0.0087065694714942021,-0.49599928849982605,0.68,0.20850294017712087,-0.036279098075673089
-0.052852121808849288,-0.008246844540447152,-0.48557820021685383,0.7000000000000001,0.19879137617278381,-0.037336140511850073
-0.049739866363209734,-0.0078319716521438459,-0.47513501780515854,0.72,0.18928867581668063,-0.038330937839114267
-0.04684543760733411,-0.0074295926886844155,-0.46471424603483968,0.74,0.17999439089598385,-0.039267846591260952
-0.044167912052183518,-0.0070191848914601214,-0.45432634094004198,0.76,0.170907864077183,-0.040151204832304624
-0.041686381062335486,-0.006593211519190869,-0.44396090597821086,0.78,0.16202864595761879,-0.040984932453551337
-0.039373670458310701,-0.0061476292054847351,-0.43360050236851683,0.8,0.15335663591024845,-0.041772405862717549
-0.037199995338910968,-0.0056794390545864722,-0.4232244130380769,0.8200000000000001,0.14489214764948691,-0.042516405769495766
-0.035134006111208253,-0.0051862199094119587,-0.41280980637859366,0.84,0.13663595152191504,-0.043219085891719931
-0.033143314764132195,-0.0046659793713251475,-0.40233238614610156,0.86,0.12858930379899303,-0.043881952187002575
-0.031194841711055746,-0.0041171412314337094,-0.39176686597852645,0.88,0.12075396647942249,-0.04450584902122369
-0.02925512800187359,-0.0035385699584653744,-0.38108741207466679,0.9,0.11313221823792916,-0.045090951581261161
-0.027290652545173481,-0.0029296087043785436,-0.37026809248084208,0.92,0.10572685638831231,-0.045636764632164629
-0.025268168946020027,-0.0022901129902471841,-0.35928334635936343,0.9400000000000001,0.098541189461125042,-0.046142128011085033
-0.023155058297865003,-0.0016204752575325887,-0.34810846825130715,0.96,0.091579020096098904,-0.04660522917704233
-0.020919689729968844,-0.0009216379425458504,-0.33672009773835304,0.98,0.084844618141331846,-0.047023622971641706
-0.018531778595435901,-0.00019509904759747767,-0.32509670295456994,1.0,0.078342684082240446,-0.047394258543550422
-0.015962736612151869,0.00055708316585874481,-0.31321905083409329,1.02,0.072078303065558583,-0.047713513275793457
-0.013186015143114089,0.0013322759319147146,-0.3010706638875626,1.04,0.066056889787807327,-0.047977233578655736
