thetadot,force,xdot,t,x,theta
0.0,0.21140952567801202,0.0,0.0,0.0,3.141592653589793
-0.21140952567801199,0.38578282609891151,0.21140952567801205,0.02,0.0042281905135602409,3.1373644630762327
-0.58781902168194244,0.6159301323542975,0.58865196227764527,0.04,0.016001229759113146,3.1256080826425938
-1.1766516667389773,0.77186484446211379,1.1806962805819812,0.06,0.039615155370752775,3.1020750493078144
-1.8919754915818794,0.82817523519551195,1.9043364010803385,0.08,0.077701883392359547,3.0642355394761767
-2.6240609709579532,0.84455248258965399,2.6538256132566054,0.1,0.13077839565749166,3.0117543200570176
-3.325358512234545,0.84915923620543055,3.386694598459453,0.12,0.19851228762668072,2.9452471498123267
-3.9765237228483716,0.85013171924489983,4.0896421396625469,0.14,0.28030513041993166,2.8657166753553591
-4.5656622658182764,0.84955171854614486,4.7574764253577211,0.16,0.37545465892708607,2.7744034300389937
-5.0828568641040892,0.84743842886137322,5.387074493082455,0.18,0.48319614878873518,2.6727462927569121
-5.5193575705018585,0.84221795511753772,5.9757539311595753,0.2,0.60271122741192673,2.5623591413468749
-5.8676720930421054,0.82847940897778372,6.5202879834255167,0.22,0.73311698708043704,2.4450056994860327
-6.1203343518493467,0.78535003730710451,7.0138041051105517,0.24,0.87339306918264814,2.3225990124490457
-6.2624831733122566,0.60729355948395158,7.4317879622943481,0.26,1.022028828428535,2.1973493489828004
-6.23405027827648,-0.12966551064586496,7.6543483078647689,0.28,1.1751157945858304,2.0726683434172708
-5.8332034738081049,-0.79134024445006346,7.1786531647947598,0.3,1.3186888578817255,1.9560042739411088
-5.2540009294014354,-0.89475886836091723,6.121093462980804,0.32,1.4411107271413417,1.85092425535308
-4.7622635975587437,-0.91304461547302096,5.0244979190108552,0.34,1.5416006855215587,1.7556789834019051
-4.374590247716311,-0.91058288014276478,3.9647374802135658,0.36,1.62089543512583,1.6681871784475788
-4.0811886160010298,-0.85180906660367139,2.9555392652094228,0.38,1.6800062204300186,1.5865634061275582
-3.8706272763943272,-0.9879011192715722,2.04311137648584,0.4,1.7208684479597354,1.5091508605996717
-3.7363338474638752,-0.99742827716981397,1.0442887979466684,0.42,1.7417542239186687,1.4344241836503941
-3.6737043586660341,-0.99352176968141981,0.07518921357167252,0.44,1.7432580081901021,1.3609500964770735
-3.6755300823375996,-0.94078558693682568,-0.85478119372366534,0.46,1.7261623843156289,1.2874394948303216
-3.7245190703170454,-0.8058637249240892,-1.7037862491412545,0.48,1.6920866593328037,1.2129491134239807
-3.7845923856361376,-0.50964608806942002,-2.3999707723040329,0.5,1.6440872438867231,1.1372572657112578
-3.7742761934256865,-0.17015411395407504,-2.7992525451492818,0.52,1.5881021929837376,1.0617717418427441
-3.6367804477324852,-0.19907604689012115,-2.8686723787495612,0.54,1.5307287454087464,0.98903613288809444
-3.5228960932305067,-0.16624808004462069,-2.9597379291439196,0.56,1.4715339868258679,0.91857821102348436
-3.4001491737677507,-0.16563116754864657,-3.0144062291120206,0.58,1.4112458622436275,0.85057522754812931
-3.2855780543723805,-0.14880036922356918,-3.0642955677317754,0.6,1.3499599508889919,0.78486366646068173
-3.1682626682987163,-0.14525654491190473,-3.0944655399041152,0.62,1.2880706400909097,0.72149841309470741
-3.0566621580284825,-0.13248564291258072,-3.1184282936523138,0.64,1.2257020742178635,0.66036516993413774
-2.9436995304395941,-0.12896379650320694,-3.1277822914274749,0.66,1.163146428389314,0.6014911793253459
-2.8362749262986067,-0.11696947515888394,-3.1321481199539991,0.68,1.100503465990234,0.54476568079937382
-2.7273757185605763,-0.11412126390971992,-3.1237004088435238,0.7000000000000001,1.0380294578133635,0.49021816642816229
-2.6246682527038732,-0.10065530494127486,-3.1119881577424278,0.72,0.97578969465851495,0.43772480137408482
-2.5188001408788061,-0.098825283193884533,-3.0869220003388169,0.74,0.91405125465173864,0.38734879855650872
-2.4202955049914809,-0.08051124949223841,-3.0605771749769741,0.76,0.85283971115219914,0.33894288845667908
-2.3138604746553333,-0.0803310463812235,-3.0168913089833591,0.78,0.79250188497253193,0.29266567896357243
-2.2167324960085839,-0.050783938333041297,-2.9745684823422009,0.8,0.73301051532568795,0.24833102904340076
-2.1006229864988462,-0.056192630453673217,-2.9045339079142232,0.8200000000000001,0.67491983716740345,0.20631856931342385
-1.9998864127639069,-0.0048549813158764339,-2.8426786179134154,0.84,0.61806626480913518,0.16632084105814571
-1.8584997858352148,-0.033627965847029963,-2.7322500452246814,0.86,0.56342126390464153,0.12915084534144142
-1.7567230927105844,0.05660147270892725,-2.6550998267391273,0.88,0.510319267369859,0.094016383487229738
-1.5751128094117131,-0.030582991611464543,-2.4911844986591452,0.9,0.46049557739667607,0.06251412729899547
-1.4930417333945345,0.11553174366855384,-2.4212340679682414,0.92,0.41207089603731123,0.03265329263110478
-1.273896693974595,-0.024294669855096557,-2.208381000253449,0.9400000000000001,0.36790327603224227,0.0071753587516128793
-1.2083328250475438,0.11533607078684156,-2.1442232730351596,0.96,0.32501881057153909,-0.016991297749337997
-1.0108798306474602,0.03317595552514898,-1.943407758979173,0.98,0.28615065539195561,-0.037208894362287206
-0.90801116559035566,0.076330193133607283,-1.8331640858191953,1.0,0.24948737367557169,-0.055369117674094318
-0.77047841825707108,0.071368237212519323,-1.6845457130935808,1.02,0.21579645941370007,-0.070778686039235733
-0.64731629863338247,0.074661357942603077,-1.5471644364235155,1.04,0.18485317068522977,-0.083725012011903382
-0.52930779671095629,0.076481249366092907,-1.4122757717110761,1.06,0.15660765525100825,-0.094311167946122515
-0.41729732241250961,0.077120766509583147,-1.2812063920939214,1.08,0.13098352740912983,-0.10265711439437271
-0.31179596881411298,0.076426491481374328,-1.154934296460842,1.1,0.10788484147991299,-0.10889303377065497
-0.21344843410290867,0.07423464344690317,-1.0345511180124303,1.12,0.087193819119664395,-0.11316200245271314
-0.12304680943811323,0.070441562351530443,-0.9212699187125295,1.1400000000000001,0.068768420745413811,-0.11562293864147541
-0.041474106185640555,0.065051178963223849,-0.81636204814283386,1.16,0.052441179782557135,-0.11645242076518822
0.030397177622276977,0.058206523304539536,-0.72104885622349491,1.18,0.03802020265808724,-0.11584447721274269
0.091834674175015563,0.050193547894775231,-0.63636589030970592,1.2,0.02529288485189312,-0.11400778372924238
0.14237636602313566,0.041407799749829798,-0.56302819884738431,1.22,0.014032320874945433,-0.11116025640877966
0.18192529964326357,0.032290732717588942,-0.50133373604424114,1.24,0.0040056461540606096,-0.10752175041591439
0.21078027453230824,0.02326302538185453,-0.45113371809171049,1.26,-0.0050170282077736002,-0.10330614492526823
0.2296016225593161,0.014685523673173807,-0.41187041106029304,1.28,-0.013254436428979461,-0.098714112474081905
0.23934124923884142,0.0068554931968408932,-0.38265227272581365,1.3,-0.020907481883495733,-0.093927287489305081
0.24117264018582896,1.7795051486269615e-05,-0.3623298534290908,1.32,-0.028154078952077548,-0.089103834685588496
