thetadot,force,xdot,t,x,theta
0.0,-0.99056780658202237,0.0,0.0,0.0,0.5
-0.74862827900382145,-0.98626365807541061,-0.96024192625563443,0.02,-0.019204838525112688,0.48502743441992358
-1.4712901142624419,-0.98350926222221158,-1.8805216842358234,0.04,-0.056815272209829154,0.45560163213467475
-2.1799591477339169,-0.97861876713390161,-2.7658231085256193,0.06,-0.11213173438034155,0.4120024491799964
-2.8811323530730606,-0.96904834672579754,-3.6167702071149881,0.08,-0.18446713852264129,0.3543798021185352
-3.576423841829512,-0.95010024743874077,-4.4307222649190461,0.1,-0.27308158382102221,0.28285132528194495
-4.25988206280869,-0.90900659005239448,-5.199486860000837,0.12,-0.37707132102103896,0.19765368402577116
-4.9093634346752308,-0.80780389114422524,-5.9011573874292509,0.14,-0.49509446876962399,0.099466415332266536
-5.4610825763691366,-0.54961432207481264,-6.4751969858046552,0.16,-0.62459840848571713,-0.0097552361951162014
-5.7531959211245036,-0.054270975817488659,-6.7654101924827286,0.18,-0.75990661233537171,-0.12481915461760627
-5.5575281671610046,0.44083268979217588,-6.54359074987598,0.2,-0.89077842733289136,-0.23596971796082639
-4.9143513181720007,0.72432805092721408,-5.8349060954784928,0.22,-1.0074765492424613,-0.33425674432426639
-4.0745061981228359,0.85884488639258239,-4.8777180644603249,0.24,-1.1050309105316678,-0.41574686828672314
-3.1995025665744032,0.92211712026019699,-3.8346179424076325,0.26,-1.1817232693798205,-0.47973691961821119
-2.3546330585395396,0.95269936375475939,-2.7801623830205795,0.28,-1.2373265170402321,-0.52682958078900199
-1.5587998904606473,0.96784061359962825,-1.7453683758769483,0.3,-1.272233884557771,-0.55800557859821498
-0.81158565069931488,0.9752799567518452,-0.74208138705129412,0.32,-1.2870755122987969,-0.57423729161220127
-0.10528329242511592,0.97823557040345932,0.22608262664128564,0.34,-1.2825538597659711,-0.57634295746070363
0.56969762490545728,0.97644008393896353,1.1586270608054279,0.36,-1.2593813185498626,-0.56494900496259448
1.2213423265787529,0.96069539912353852,2.0545193021929546,0.38,-1.2182909325060034,-0.54052215843101947
1.8482739303777875,0.91099080565252544,2.9034333409710511,0.4,-1.1602222656865824,-0.50355667982346375
2.4296709903127232,0.85335812953987167,3.6753181187114872,0.42,-1.0867159033123526,-0.45496326001720927
2.9636761822142041,0.80200573640881334,4.3657745180948213,0.44,-0.99940041295045612,-0.3956897363729252
3.4582870984017786,0.74359500948392465,4.9837609243799283,0.46,-0.89972519446285759,-0.32652399440488966
3.9071989467554458,0.66861001820224331,5.5241573645212316,0.48,-0.78924204717243296,-0.24838001546978072
4.29299349457012,0.56506553054449005,5.9719256863177348,0.5,-0.66980353344607824,-0.16252014557837832
4.5850835746571192,0.41420306624574998,6.3000863254818595,0.52,-0.54380180693644098,-0.070818474085235936
4.7344982273257878,0.19716247411352092,6.4637942987046806,0.54,-0.41452592096234736,0.023871490461279829
4.6772113645804989,-0.079734539859882533,6.4018066334037043,0.56,-0.2864897882942733,0.11741571775288981
4.3643383713213595,-0.36377315741079369,6.0636210604681828,0.58,-0.16521736708490964,0.204702485179317
3.8092619164196697,-0.59275188466878992,5.4559751488436596,0.6,-0.056097864108036438,0.28088772350771041
3.0876964209648938,-0.74585610020769655,4.6483710888599257,0.62,0.03686955766916207,0.34264165192700829
2.285600662798271,-0.83447377067188766,3.7267853798657891,0.64,0.11140526526647786,0.38835366518297371
1.4651228947580366,-0.85928245675763537,2.7600222510222761,0.66,0.16660571028692339,0.41765612307813443
0.67769574096605112,-0.77508244588591435,1.8114777951321459,0.68,0.20283526618956632,0.43121003789745543
0.0092724737657476908,-0.71915268157658163,0.98543315387931663,0.7000000000000001,0.22254392926715266,0.43139548737277039
-0.57926703102282695,-0.71581463948306479,0.24722223097158169,0.72,0.2274883738865843,0.41981014675231387
-1.1448436311130983,-0.69728909133102379,-0.45970832535900918,0.74,0.21829420737940411,0.3969132741300519
-1.6804657142920822,-0.64001087122618638,-1.1227195120016957,0.76,0.19583981713937021,0.36330395984421027
-2.1559015114600526,-0.52703121438681511,-1.7059463037518832,0.78,0.16172089106433254,0.32018592961500919
-2.5225942576135783,-0.3480003793524819,-2.157332473487735,0.8,0.11857424159457784,0.26973404446273763
-2.7192005339369461,-0.12074205582094219,-2.4155581408879412,0.8200000000000001,0.070263078776819018,0.2153500337839987
-2.6998202591499085,0.10269967606424769,-2.4386368033066086,0.84,0.021490342710686845,0.16135362860100053
-2.4704074372767351,0.27499403133836975,-2.2381400665922557,0.86,-0.023272458621158273,0.11194547985546582
-2.0858946711894921,0.38318363160587621,-1.8732612524942267,0.88,-0.060737683671042805,0.070227586431675981
-1.6146069127627811,0.43570127550041732,-1.4146102746599487,0.9,-0.089029889164241788,0.037935448176420361
-1.1147596434397855,0.44278465659851857,-0.92184963224729566,0.92,-0.1074668818091877,0.01564025530762465
-0.63183500237216639,0.40498864125715711,-0.44193478755735305,0.9400000000000001,-0.11630557756033477,0.0030035552601813224
-0.20852542979557342,0.30209284500101707,-0.019212604877043238,0.96,-0.11668982965787564,-0.001166953335730146
0.094083921649627922,0.1336888716797752,0.28362590896036932,0.98,-0.11101731147866825,0.00071472509726241236
0.21658195876900638,0.020540008289543683,0.40598374827975026,1.0,-0.10289763651307325,0.0050463642726425399
0.22197117693942203,-0.0074461794344470051,0.41038292999633935,1.02,-0.09468997791314647,0.0094857878114309804
0.20015720743215742,-0.012520546060975437,0.38670681164827453,1.04,-0.086955841680180973,0.013488931960074129
